"","CWM T0 - BWA 2024 RDAM NL - Export 20241121 - R=18.csv"
"86","Do you think that your financial circumstances will be better, worse or the same within a year?"
"87","Worries often stand in the way of my performance."
"88","My thoughts and feelings do not prevent me from tapping my full potential when I work."
"89","If I want to achieve something professionally, I will go for it."
"90","I regularly make concrete plans for the future, for my work and my career."
"91","It is difficult for me to let go of disturbing thoughts when I work, even if I know it would help me."
"92","I can easily describe my beliefs and opinions when I work."
"93","I feel restricted by everything that I demand from myself when I work."
"94","I don't expect myself to do everything right when I work."
"95","I realise that my actions are my own choices."
"96","I find support in the people that surround me"
"97","It is exciting to figure out new ways to solve unmet work challenges that can be commercialized"
"98","Searching for new ideas to express in my work is enjoyable to me"
"99","I am motivated to figure out how to make my current work more innovative"
"100","Scanning my surroundings for new work opportunities excites me"
"101","Starting a new business or project excites me"
"102","Having creative freedom energizes me"
"103","Nurturing a new project and making it successful excites me"
"104","Commercializing my work to generate money is important"
"105","I actively seek out the right people to network with in order to build my professional reputation"
"106","Collaborating with others is a part of my work"
"107","Pushing myself beyond my comfort zone excites and better motivates me"
"108","Nurturing and growing my professional work is an important part of who I am"
"109","Persuing a creative or entrepreneurial career is a calling and should be persued for its own sake"
"110","I often have no idea where my next Euros will come from"
"111","It is hard for me to plan for large expenses as it is difficult to predict what my income will
be in any given year."
"112","I often can’t predict when I will get my next paycheck."
"113","I find it difficult to stick to effective routines for handling all the backoffice work that come with my work"
"114","Sometimes I fall seriously behind on doing the necessary administrative tasks to keep
my projects going."
"115","I sometimes feel overwhelmed by all of the different tasks I have to complete in my
work."
"116","I wear so many professional hats that it is sometimes difficult to have a clear sense of
who I am as a professional"
"117","It is sometimes difficult to explain to others who I am as a professional."
"118","My life as an (independent) professional can get pretty intense emotionally."
"119","Working as an (independent) professional is emotional."
"120","In my professional life, my emotions are all over the place."
"121","My professional life can get lonely"
"122","I feel alone in my professional life, separated from mentors and colleagues who might help me"
"123","Sometimes I miss being part of a team when I work"
"124","I don't know where my career might go in the future"
"125","Where I go from here in my career is very unclear"
"126","I'm not sure what kind of work I'll be doing next year"
"127","Would you like to apply for the New Deal Scholarship?"
"128","Phone number"
"129","You made it to the end!"
"130","Response Type"
"131","Start Date (UTC)"
"132","Stage Date (UTC)"
"133","Submit Date (UTC)"
"134","Network ID"
"135","Tags"
